Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FGFR1c Ligand Binding And Activation R-HSA-190373	1/12	0.008965326705510297	0.01959487573360035	0	0	129.7012987012987	611.4626002996463	FGF4
Ub-specific Processing Proteases R-HSA-5689880	2/201	0.009682207848613159	0.02002147536000289	0	0	15.296482412060302	70.93690670646384	SMAD4;TP53
FGFR2c Ligand Binding And Activation R-HSA-190375	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	FGF4
FGFR3 Ligand Binding And Activation R-HSA-190239	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	FGF4
FGFRL1 Modulation Of FGFR1 Signaling R-HSA-5658623	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	FGF4
PTK6 Regulates RHO GTPases, RAS GTPase And MAP Kinases R-HSA-8849471	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	NRAS
Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	FGF4
Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	CHEK1
SHC1 Events In EGFR Signaling R-HSA-180336	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	NRAS
SHC1 Events In ERBB4 Signaling R-HSA-1250347	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	NRAS
Erythropoietin Activates RAS R-HSA-9027284	1/13	0.009709044215672634	0.02002147536000289	0	0	118.88690476190476	551.0048324972125	NRAS
FGFR4 Ligand Binding And Activation R-HSA-190322	1/14	0.0104522409709381	0.020961911837320917	0	0	109.73626373626374	500.5003914455875	FGF4
TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	1/14	0.0104522409709381	0.020961911837320917	0	0	109.73626373626374	500.5003914455875	TP53
TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205	1/14	0.0104522409709381	0.020961911837320917	0	0	109.73626373626374	500.5003914455875	TP53
Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759	1/14	0.0104522409709381	0.020961911837320917	0	0	109.73626373626374	500.5003914455875	TP53
Role Of LAT2/NTAL/LAB On Calcium Mobilization R-HSA-2730905	1/14	0.0104522409709381	0.020961911837320917	0	0	109.73626373626374	500.5003914455875	PIK3CA
G Alpha (Q) Signaling Events R-HSA-416476	2/212	0.010722686485029541	0.021386779054840342	0	0	14.487179487179487	65.70506040078747	NRAS;PIK3CA
GRB2 Events In ERBB2 Signaling R-HSA-1963640	1/15	0.01119491729246133	0.02196852049327089	0	0	101.89285714285714	457.7328151534797	NRAS
Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228	1/15	0.01119491729246133	0.02196852049327089	0	0	101.89285714285714	457.7328151534797	FGF4
Signaling By Activin R-HSA-1502540	1/15	0.01119491729246133	0.02196852049327089	0	0	101.89285714285714	457.7328151534797	SMAD4
Immune System R-HSA-168256	5/1943	0.011257060667280827	0.0219723376660829	0	0	4.65608875128999	20.890751519443278	JUN;NRAS;PIK3CA;FBXW7;TP53
Cell Cycle R-HSA-1640170	3/654	0.01180555230755634	0.022811684972886125	0	0	7.424731182795699	32.95975769862784	RAD51;CHEK1;TP53
PI3K Events In ERBB2 Signaling R-HSA-1963642	1/16	0.011937073506359589	0.022811684972886125	0	0	95.0952380952381	421.0918230074216	PIK3CA
Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219	1/16	0.011937073506359589	0.022811684972886125	0	0	95.0952380952381	421.0918230074216	FGF4
FGFR1 Ligand Binding And Activation R-HSA-190242	1/16	0.011937073506359589	0.022811684972886125	0	0	95.0952380952381	421.0918230074216	FGF4
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	SMAD4
Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	TP53
Activated Point Mutants Of FGFR2 R-HSA-2033519	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	FGF4
GAB1 Signalosome R-HSA-180292	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	PIK3CA
Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	NRAS
Gastrulation R-HSA-9758941	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	SMAD4
Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117	1/17	0.012678709933633063	0.023372369322101353	0	0	89.14732142857143	389.38044082427126	PIK3CA
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221	1/18	0.01341982690512007	0.024248697130538743	0	0	83.89915966386555	361.6911269349327	FGF4
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114	1/18	0.01341982690512007	0.024248697130538743	0	0	83.89915966386555	361.6911269349327	TP53
Regulation Of NF-kappa B Signaling R-HSA-9758274	1/18	0.01341982690512007	0.024248697130538743	0	0	83.89915966386555	361.6911269349327	TP53
Regulation Of Signaling By CBL R-HSA-912631	1/18	0.01341982690512007	0.024248697130538743	0	0	83.89915966386555	361.6911269349327	PIK3CA
Signaling By GPCR R-HSA-372790	3/689	0.013590435069884407	0.02443600394338822	0	0	7.033163265306122	30.23127187754898	NRAS;KEL;PIK3CA
Signaling To RAS R-HSA-167044	1/19	0.014160424747060764	0.024848822272486436	0	0	79.23412698412699	337.3237811891663	NRAS
RAS Processing R-HSA-9648002	1/19	0.014160424747060764	0.024848822272486436	0	0	79.23412698412699	337.3237811891663	NRAS
Ras Activation Upon Ca2+ Influx Thru NMDA Receptor R-HSA-442982	1/19	0.014160424747060764	0.024848822272486436	0	0	79.23412698412699	337.3237811891663	NRAS
Regulation Of TP53 Activity Thru Methylation R-HSA-6804760	1/19	0.014160424747060764	0.024848822272486436	0	0	79.23412698412699	337.3237811891663	TP53
SUMOylation Of Transcription Factors R-HSA-3232118	1/19	0.014160424747060764	0.024848822272486436	0	0	79.23412698412699	337.3237811891663	TP53
TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204	1/20	0.014900503788898576	0.02577575299975346	0	0	75.06015037593986	315.7300332957057	TP53
CD209 (DC-SIGN) Signaling R-HSA-5621575	1/20	0.014900503788898576	0.02577575299975346	0	0	75.06015037593986	315.7300332957057	NRAS
FGFR2 Ligand Binding And Activation R-HSA-190241	1/20	0.014900503788898576	0.02577575299975346	0	0	75.06015037593986	315.7300332957057	FGF4
TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115	1/21	0.015640064360477556	0.026551737170113058	0	0	71.30357142857143	296.4745049823623	TP53
SHC1 Events In ERBB2 Signaling R-HSA-1250196	1/21	0.015640064360477556	0.026551737170113058	0	0	71.30357142857143	296.4745049823623	NRAS
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803	1/21	0.015640064360477556	0.026551737170113058	0	0	71.30357142857143	296.4745049823623	JUN
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	1/21	0.015640064360477556	0.026551737170113058	0	0	71.30357142857143	296.4745049823623	NRAS
Adaptive Immune System R-HSA-1280218	3/733	0.01604544583173125	0.027113832076768082	0	0	6.594178082191781	27.24932135502823	NRAS;PIK3CA;FBXW7
Nephrin Family Interactions R-HSA-373753	1/22	0.016379106794774147	0.027423733853635612	0	0	67.9047619047619	279.20731867751766	PIK3CA
Signaling By NODAL R-HSA-1181150	1/22	0.016379106794774147	0.027423733853635612	0	0	67.9047619047619	279.20731867751766	SMAD4
Cell Cycle Checkpoints R-HSA-69620	2/271	0.01709858506651299	0.02839970667190087	0	0	11.275950814984272	45.87913271653495	CHEK1;TP53
CD28 Dependent PI3K/Akt Signaling R-HSA-389357	1/23	0.017117631418679974	0.02839970667190087	0	0	64.81493506493507	263.6442288281798	PIK3CA
Impaired BRCA2 Binding To PALB2 R-HSA-9709603	1/24	0.017855638565236642	0.029490081793264136	0	0	61.993788819875775	249.55202523941097	RAD51
Deubiquitination R-HSA-5688426	2/279	0.018062492284920604	0.029697340918900996	0	0	10.945848375451263	43.9357349762229	SMAD4;TP53
Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	1/25	0.018593128566787336	0.03043269922366537	0	0	59.407738095238095	236.73765001047641	RAD51
Pyroptosis R-HSA-5620971	1/26	0.019330101754838777	0.031218969648301564	0	0	57.02857142857143	225.0399736139121	TP53
Role Of Phospholipids In Phagocytosis R-HSA-2029485	1/26	0.019330101754838777	0.031218969648301564	0	0	57.02857142857143	225.0399736139121	PIK3CA
Signaling By ALK R-HSA-201556	1/26	0.019330101754838777	0.031218969648301564	0	0	57.02857142857143	225.0399736139121	PIK3CA
CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742	1/27	0.02006655846437807	0.03184475582390433	0	0	54.832417582417584	214.3235039145759	NRAS
Interleukin Receptor SHC Signaling R-HSA-912526	1/27	0.02006655846437807	0.03184475582390433	0	0	54.832417582417584	214.3235039145759	PIK3CA
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	1/27	0.02006655846437807	0.03184475582390433	0	0	54.832417582417584	214.3235039145759	RAD51
Signaling By BMP R-HSA-201451	1/27	0.02006655846437807	0.03184475582390433	0	0	54.832417582417584	214.3235039145759	SMAD4
FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017	1/29	0.02153792376580922	0.03373966598506594	0	0	50.910714285714285	195.39226686727991	SMAD4
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758	1/29	0.02153792376580922	0.03373966598506594	0	0	50.910714285714285	195.39226686727991	TP53
Negative Regulation Of FGFR3 Signaling R-HSA-5654732	1/29	0.02153792376580922	0.03373966598506594	0	0	50.910714285714285	195.39226686727991	FGF4
Activation Of BH3-only Proteins R-HSA-114452	1/30	0.022272833024450562	0.03430204242162217	0	0	49.152709359605915	186.9959576603662	TP53
Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723	1/30	0.022272833024450562	0.03430204242162217	0	0	49.152709359605915	186.9959576603662	SMAD4
MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282	1/30	0.022272833024450562	0.03430204242162217	0	0	49.152709359605915	186.9959576603662	JUN
Signaling By CSF3 (G-CSF) R-HSA-9674555	1/30	0.022272833024450562	0.03430204242162217	0	0	49.152709359605915	186.9959576603662	NRAS
RUNX2 Regulates Bone Development R-HSA-8941326	1/31	0.023007227131928758	0.034990157929808315	0	0	47.51190476190476	179.21238137059572	SMAD4
Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795	1/31	0.023007227131928758	0.034990157929808315	0	0	47.51190476190476	179.21238137059572	SMAD4
Negative Regulation Of FGFR4 Signaling R-HSA-5654733	1/31	0.023007227131928758	0.034990157929808315	0	0	47.51190476190476	179.21238137059572	FGF4
GPVI-mediated Activation Cascade R-HSA-114604	1/32	0.02374110642149283	0.03580786712332597	0	0	45.97695852534562	171.97898738890794	PIK3CA
RAF Activation R-HSA-5673000	1/32	0.02374110642149283	0.03580786712332597	0	0	45.97695852534562	171.97898738890794	NRAS
FGFR2 Mutant Receptor Activation R-HSA-1839126	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	FGF4
Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	NRAS
Signaling To ERKs R-HSA-187687	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	NRAS
Oncogene Induced Senescence R-HSA-2559585	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	TP53
Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	RAD51
Negative Regulation Of FGFR1 Signaling R-HSA-5654726	1/33	0.024474471226601	0.03602089515205389	0	0	44.53794642857143	165.24133492847943	FGF4
CD28 Co-Stimulation R-HSA-389356	1/34	0.025207321878441238	0.036656065679804985	0	0	43.18614718614719	158.95183056590525	PIK3CA
Resolution Of D-Loop Structures R-HSA-5693537	1/34	0.025207321878441238	0.036656065679804985	0	0	43.18614718614719	158.95183056590525	RAD51
Negative Regulation Of FGFR2 Signaling R-HSA-5654727	1/34	0.025207321878441238	0.036656065679804985	0	0	43.18614718614719	158.95183056590525	FGF4
Impaired BRCA2 Binding To RAD51 R-HSA-9709570	1/35	0.025939658708656763	0.03757133106610999	0	0	41.91386554621849	153.06869330263612	RAD51
Activation Of ATR In Response To Replication Stress R-HSA-176187	1/36	0.02667148204996858	0.03817682724799425	0	0	40.714285714285715	147.55510087647235	CHEK1
Regulation Of TP53 Degradation R-HSA-6804757	1/36	0.02667148204996858	0.03817682724799425	0	0	40.714285714285715	147.55510087647235	TP53
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796	1/36	0.02667148204996858	0.03817682724799425	0	0	40.714285714285715	147.55510087647235	SMAD4
HDR Thru Single Strand Annealing (SSA) R-HSA-5685938	1/37	0.02740279223681544	0.038767516148983085	0	0	39.58134920634921	142.37848146420913	RAD51
Regulation Of TP53 Expression And Degradation R-HSA-6806003	1/37	0.02740279223681544	0.038767516148983085	0	0	39.58134920634921	142.37848146420913	TP53
MAP2K And MAPK Activation R-HSA-5674135	1/37	0.02740279223681544	0.038767516148983085	0	0	39.58134920634921	142.37848146420913	NRAS
Signaling By RAF1 Mutants R-HSA-9656223	1/38	0.028133589600523087	0.039647722796103964	0	0	38.50965250965251	137.5099227922053	NRAS
Ovarian Tumor Domain Proteases R-HSA-5689896	1/39	0.028863874472676125	0.040365188438799944	0	0	37.494360902255636	132.92367662225746	TP53
Transcriptional Regulation By VENTX R-HSA-8853884	1/39	0.028863874472676125	0.040365188438799944	0	0	37.494360902255636	132.92367662225746	TP53
RET Signaling R-HSA-8853659	1/40	0.029593647188767416	0.04122779093091644	0	0	36.53113553113553	128.5967411966507	PIK3CA
Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955	1/41	0.030322908077222658	0.04176551489881611	0	0	35.61607142857143	124.50850776759755	NRAS
Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190	1/41	0.030322908077222658	0.04176551489881611	0	0	35.61607142857143	124.50850776759755	RAD51
Negative Regulation Of MAPK Pathway R-HSA-5675221	1/41	0.030322908077222658	0.04176551489881611	0	0	35.61607142857143	124.50850776759755	NRAS
TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789	1/44	0.03250762309645384	0.04410885661786487	0	0	33.12624584717608	113.49981549573599	SMAD4
TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	1/44	0.03250762309645384	0.04410885661786487	0	0	33.12624584717608	113.49981549573599	TP53
Interleukin-2 Family Signaling R-HSA-451927	1/44	0.03250762309645384	0.04410885661786487	0	0	33.12624584717608	113.49981549573599	PIK3CA
Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988	1/44	0.03250762309645384	0.04410885661786487	0	0	33.12624584717608	113.49981549573599	PIK3CA
TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989	1/45	0.03323483999578458	0.04492857999430138	0	0	32.371753246753244	110.19851603861096	TP53
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	1/48	0.0354134310062899	0.04769705652138677	0	0	30.300911854103344	101.22516915069231	FBXW7
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	1/49	0.03613860922017235	0.048494824872657744	0	0	29.668154761904763	98.50994756608033	TP53
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499	1/51	0.03758743944760645	0.049528575445402005	0	0	28.478571428571428	93.44062326514334	PIK3CA
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425	1/51	0.03758743944760645	0.049528575445402005	0	0	28.478571428571428	93.44062326514334	TP53
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	1/51	0.03758743944760645	0.049528575445402005	0	0	28.478571428571428	93.44062326514334	SMAD4
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601	1/51	0.03758743944760645	0.049528575445402005	0	0	28.478571428571428	93.44062326514334	CHEK1
Diseases Of DNA Repair R-HSA-9675135	1/51	0.03758743944760645	0.049528575445402005	0	0	28.478571428571428	93.44062326514334	RAD51
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	1/52	0.03831109212243645	0.05030053462118455	0	0	27.9187675070028	91.07146109214371	NRAS
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323	1/53	0.03903423694583945	0.051066295645990675	0	0	27.380494505494507	88.80359995755282	FBXW7
Intrinsic Pathway For Apoptosis R-HSA-109606	1/55	0.04047900435479814	0.052579489642353455	0	0	26.363756613756614	84.5478253280487	TP53
Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370	1/55	0.04047900435479814	0.052579489642353455	0	0	26.363756613756614	84.5478253280487	PIK3CA
Stabilization Of P53 R-HSA-69541	1/56	0.04120062760444105	0.05313861864177026	0	0	25.883116883116884	82.54907099640234	TP53
Meiotic Recombination R-HSA-912446	1/56	0.04120062760444105	0.05313861864177026	0	0	25.883116883116884	82.54907099640234	RAD51
Regulated Necrosis R-HSA-5218859	1/57	0.04192174431785375	0.05368925149479515	0	0	25.419642857142858	80.62985215473387	TP53
NCAM Signaling For Neurite Out-Growth R-HSA-375165	1/57	0.04192174431785375	0.05368925149479515	0	0	25.419642857142858	80.62985215473387	NRAS
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	1/58	0.04264235482763042	0.05442118710519268	0	0	24.972431077694235	78.78570447797571	FBXW7
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276	1/59	0.04336245946904513	0.055147378767252515	0	0	24.54064039408867	77.0124855419272	TP53
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565	1/60	0.044082058563485634	0.055867886721084226	0	0	24.123486682808718	75.30634662640054	TP53
Post NMDA Receptor Activation Events R-HSA-438064	1/61	0.044801152442406705	0.05600144055300838	0	0	23.720238095238095	73.66370739100482	NRAS
Ca2+ Pathway R-HSA-4086398	1/61	0.044801152442406705	0.05600144055300838	0	0	23.720238095238095	73.66370739100482	NRAS
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	1/61	0.044801152442406705	0.05600144055300838	0	0	23.720238095238095	73.66370739100482	TP53
DNA Double Strand Break Response R-HSA-5693606	1/61	0.044801152442406705	0.05600144055300838	0	0	23.720238095238095	73.66370739100482	TP53
MAP Kinase Activation R-HSA-450294	1/62	0.04551974143734416	0.05651260416541027	0	0	23.330210772833723	72.08123312729496	JUN
Signaling By BRAF And RAF1 Fusions R-HSA-6802952	1/62	0.04551974143734416	0.05651260416541027	0	0	23.330210772833723	72.08123312729496	NRAS
FOXO-mediated Transcription R-HSA-9614085	1/65	0.0476724823882987	0.05858739418090581	0	0	22.233258928571427	67.66472104881002	SMAD4
p53-Dependent G1 DNA Damage Response R-HSA-69563	1/65	0.0476724823882987	0.05858739418090581	0	0	22.233258928571427	67.66472104881002	TP53
Regulation Of RAS By GAPs R-HSA-5658442	1/65	0.0476724823882987	0.05858739418090581	0	0	22.233258928571427	67.66472104881002	NRAS
Integrin Cell Surface Interactions R-HSA-216083	1/66	0.048389055122640294	0.05926847355625405	0	0	21.89010989010989	66.29379556401673	KDR
Costimulation By CD28 Family R-HSA-388841	1/68	0.049820691179205345	0.060817900603377766	0	0	21.23454157782516	63.6892892034775	PIK3CA
Interleukin-17 Signaling R-HSA-448424	1/69	0.050535755162539275	0.06148516878108945	0	0	20.92121848739496	62.4513889160488	JUN
Regulation Of RUNX2 Expression And Activity R-HSA-8939902	1/72	0.052677934851228736	0.06387855887275246	0	0	20.03420523138833	58.9718571959067	FBXW7
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	1/74	0.05410354769023977	0.0651742406169555	0	0	19.483365949119374	56.830163492521734	NRAS
Signaling By NOTCH1 R-HSA-1980143	1/74	0.05410354769023977	0.0651742406169555	0	0	19.483365949119374	56.830163492521734	FBXW7
Axon Guidance R-HSA-422475	2/519	0.056466167546980015	0.06779654985081482	0	0	5.793185537866389	16.6502734845823	NRAS;PIK3CA
Oncogenic MAPK Signaling R-HSA-6802957	1/78	0.05694876845661975	0.06815180487431544	0	0	18.467532467532468	52.920620399451245	NRAS
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372	1/79	0.05765882452881156	0.06877604886606607	0	0	18.229853479853478	52.013636218945	NRAS
Processing Of DNA Double-Strand Break Ends R-HSA-5693607	1/80	0.05836838159371669	0.06939563283943516	0	0	17.998191681735985	51.13251964521233	CHEK1
TP53 Regulates Metabolic Genes R-HSA-5628897	1/81	0.05907743999711352	0.06955892128692398	0	0	17.772321428571427	50.27622944918878	TP53
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	1/81	0.05907743999711352	0.06955892128692398	0	0	17.772321428571427	50.27622944918878	JUN
Signaling By NOTCH4 R-HSA-9013694	1/81	0.05907743999711352	0.06955892128692398	0	0	17.772321428571427	50.27622944918878	FBXW7
PI Metabolism R-HSA-1483255	1/82	0.05978600004696535	0.07016684892971818	0	0	17.552028218694886	49.44377841836203	PIK3CA
Nervous System Development R-HSA-9675108	2/545	0.06158053182590003	0.07204132729632536	0	0	5.508428955942768	15.354247202871003	NRAS;PIK3CA
Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480	1/87	0.06332133646728985	0.07360601213554394	0	0	16.527408637873755	45.60792850994067	PIK3CA
RAC2 GTPase Cycle R-HSA-9013404	1/87	0.06332133646728985	0.07360601213554394	0	0	16.527408637873755	45.60792850994067	PIK3CA
Meiosis R-HSA-1500620	1/88	0.06402691324948269	0.07418991535257519	0	0	16.336617405582924	44.90040493421904	RAD51
MAPK6/MAPK4 Signaling R-HSA-5687128	1/90	0.06543657891915576	0.07558339020725269	0	0	15.967897271268058	43.53924818748468	JUN
Activation Of HOX Genes During Differentiation R-HSA-5619507	1/91	0.06614066844776637	0.07591617604853687	0	0	15.78968253968254	42.884327217943145	JUN
Signaling By TGF-beta Receptor Complex R-HSA-170834	1/91	0.06614066844776637	0.07591617604853687	0	0	15.78968253968254	42.884327217943145	SMAD4
Downstream TCR Signaling R-HSA-202424	1/94	0.06824996769314998	0.0780916558244506	0	0	15.278033794162827	41.01507826972229	PIK3CA
GPCR Downstream Signaling R-HSA-388396	2/619	0.07697665005436521	0.08780149146826033	0	0	4.8293230270539835	12.383606780453583	NRAS;PIK3CA
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	1/107	0.07733898580252882	0.08793996828013402	0	0	13.3955525606469	34.28668175050354	TP53
Signaling By B Cell Receptor (BCR) R-HSA-983705	1/109	0.07872992925227794	0.08924355334497344	0	0	13.14616402116402	33.41402446045909	NRAS
Post-translational Protein Modification R-HSA-597592	3/1383	0.08042533020170736	0.09088311307623277	0	0	3.3704710144927534	8.495023114745852	SMAD4;FBXW7;TP53
Reproduction R-HSA-1474165	1/113	0.08150594689102497	0.09181997103464232	0	0	12.674107142857142	31.77499158030827	RAD51
Interleukin-1 Signaling R-HSA-9020702	1/114	0.08219873041095659	0.09231549723076662	0	0	12.561314791403287	31.38589486042515	TP53
TCR Signaling R-HSA-202403	1/116	0.08358283458068617	0.0935820080427928	0	0	12.341614906832298	30.630865177076565	PIK3CA
Estrogen-dependent Gene Expression R-HSA-9018519	1/119	0.08565533850079231	0.0953176785146012	0	0	12.026029055690072	29.553049141820058	JUN
Signaling By TGFB Family Members R-HSA-9006936	1/119	0.08565533850079231	0.0953176785146012	0	0	12.026029055690072	29.553049141820058	SMAD4
Cell-Cell Communication R-HSA-1500931	1/120	0.08634520045082864	0.09579330749104088	0	0	11.92436974789916	29.207575806075802	PIK3CA
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231	1/136	0.09731713676255911	0.107638651267679	0	0	10.502645502645503	24.46885535434124	TP53
Cellular Responses To Stress R-HSA-2262752	2/722	0.1002374537428125	0.11053374808497451	0	0	4.1164529914529915	9.468720209254375	JUN;TP53
C-type Lectin Receptors (CLRs) R-HSA-5621481	1/141	0.10072056656724422	0.11073194818386789	0	0	10.125	23.240978298917902	NRAS
Beta-catenin Independent WNT Signaling R-HSA-3858494	1/142	0.10139981372001562	0.1111439399633805	0	0	10.052684903748734	23.00741934663807	NRAS
Cellular Responses To Stimuli R-HSA-8953897	2/736	0.10354459076662666	0.1131550168557447	0	0	4.035003143994969	9.150390203942285	JUN;TP53
Interleukin-1 Family Signaling R-HSA-446652	1/152	0.10816599916036625	0.11785250654786174	0	0	9.382213812677389	20.8668710551943	TP53
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1/168	0.11889307034860111	0.1291546746346411	0	0	8.476475620188195	18.050915555377973	TP53
SUMOylation R-HSA-2990846	1/174	0.12288458245052528	0.13309457743157782	0	0	8.18001651527663	17.14948411931612	TP53
Apoptosis R-HSA-109581	1/178	0.12553620778049904	0.13516435350997683	0	0	7.993543179983858	16.587889489048177	TP53
RAC1 GTPase Cycle R-HSA-9013149	1/178	0.12553620778049904	0.13516435350997683	0	0	7.993543179983858	16.587889489048177	PIK3CA
G2/M Transition R-HSA-69275	1/182	0.12818034985366084	0.1372018407524522	0	0	7.815311760063142	16.05512799278458	TP53
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	1/182	0.12818034985366084	0.1372018407524522	0	0	7.815311760063142	16.05512799278458	NRAS
Mitotic G2-G2/M Phases R-HSA-453274	1/184	0.12949962080789065	0.1382086596341523	0	0	7.729117876658861	15.798914601437259	TP53
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.137376199262544	0.14618750067296954	0	0	7.249084249084249	14.389665194271712	KEL
Phospholipid Metabolism R-HSA-1483257	1/208	0.14518621913170746	0.15360281154513977	0	0	6.824706694271912	13.169896465497521	PIK3CA
Programmed Cell Death R-HSA-5357801	1/208	0.14518621913170746	0.15360281154513977	0	0	6.824706694271912	13.169896465497521	TP53
Metabolism Of Proteins R-HSA-392499	3/1890	0.1632012875619078	0.17216320797715706	0	0	2.397721250662427	4.346519422231195	SMAD4;FBXW7;TP53
Neddylation R-HSA-8951664	1/237	0.16378881647039442	0.17228506631612095	0	0	5.977300242130751	10.813996423872048	FBXW7
Transmission Across Chemical Synapses R-HSA-112315	1/246	0.1694847607774618	0.17776418874647576	0	0	5.755102040816326	10.215261595921609	NRAS
Leishmania Infection R-HSA-9658195	1/247	0.17011540324108643	0.17791439020915914	0	0	5.731416957026713	10.151934081009124	JUN
Platelet Activation, Signaling And Aggregation R-HSA-76002	1/254	0.1745174017822425	0.18199671900148148	0	0	5.570863918690006	9.725228829258043	PIK3CA
